ID,难度,教师复核,复核序号,复核原因
2759882938218831872,中等,中等题,1,未给出
2588049749402984448,较易,基础题,2,未给出
2530050352983891968,较易,基础题,3,未给出
2141171782236581888,较易,基础题,4,涉及摩擦力的概念辨析可适当提高一个档次（从送分题提升至基础题）
2139836394277801984,较易,基础题,5,涉及摩擦力的概念辨析可适当提高一个档次（从送分题提升至基础题）
3659089326459863040,较易,基础题,6,存在跨学科知识点，即地理中的方位关系这一隐藏知识点
2558509707486060544,中等,中等题,9,未给出
2139835288467529729,较易,基础题,11,未给出
2373153967956135936,较易,基础题,12,未给出
2313766770979164160,较易,基础题,13,未给出
3023651235361832960,中等,中等题,19,未给出
2264323391910076416,中等,中等题,21,未给出
2829550662548987904,较易,基础题,24,未给出
2810605094378221568,中等,中等题,25,未给出
2326452803799965696,中等,中等题,29,未给出
2823802518469910528,较易,基础题,30,未给出
2781769466839904256,较易,基础题,31,未给出
3046118691697373184,较易,基础题,34,未给出
2762151814819495936,较易,基础题,35,未给出
2317122708735619072,中等,中等题,37,未给出
3659088642788311040,较易,基础题,39,未给出
2234555167131799552,中等,中等题,40,未给出
2527164048014925824,中等,中等题,41,未给出
3678666616429715456,中等,中等题,44,未给出
2747070319289192448,中等,中等题,46,未给出
2496344549877612544,中等,中等题,47,未给出
3086996422300635136,中等,中等题,48,未给出
2931077220550852608,较易,基础题,51,未给出
3660631806741413888,困难,压轴题,56,属于多状态电路的极值与范围计算
3074637928413310976,中等,中等题,62,未给出
3074414769281245184,中等,中等题,64,未给出
3052782342720278528,中等,中等题,67,未给出
2345527930483122176,较难,拔高题,69,未给出
2579044845604360192,较难,拔高题,71,未给出
2680182245881573376,中等,中等题,72,未给出
2318614123985788928,中等,中等题,75,未给出
2731326880406867968,中等,中等题,76,未给出
2433717794975301632,中等,中等题,77,未给出
2825067892872855552,中等,中等题,80,未给出
2690323078254432256,较易,基础题,82,未给出
2457550218900586496,中等,中等题,83,未给出
2892517851348377600,中等,中等题,86,未给出
2538890199542050816,较难,拔高题,88,未给出
2580860022081036288,较难,拔高题,89,v-t图像很少考，初中生需要将v-t转化为实际运动情形才行
2292109347317379072,较易,基础题,93,未给出
2581995890588020736,中等,中等题,94,未给出
3659089289013116928,较易,基础题,96,未给出
2416702542409678848,较难,拔高题,98,未给出
3650478559548780544,困难,压轴题,100,多物体，计算难度大，不常见滑轮组
3137315823756054528,中等,中等题,102,未给出
2496372112958517248,中等,中等题,106,未给出
3648778644477009920,较难,拔高题,109,未给出
3673861217903460352,较难,拔高题,120,未给出
3328782068189347840,较难,拔高题,123,电路的范围与极值问题，需要考虑的条件比较多，逻辑链也长，对学生的综合能力要求较高
2747164764849872896,较难,拔高题,124,未给出
3673792458882355200,困难,压轴题,135,隐藏条件较多：识图；压强增加用浮力来处理等。逻辑过程长
2448657553976307712,较难,拔高题,137,未给出
2584777513495171072,困难,压轴题,139,隐藏条件：从时间轴中找到两列波的传播时间及两列波发出的时间间隔。逻辑推理多，过程复杂
3022225340690878464,较难,拔高题,140,未给出
2325984702844915712,困难,压轴题,149,限制条件较多，逻辑推理链长，对学生的综合能力要求高
